289.4, -503.6
319.93, -481.098
345.968, -453.504
366.167, -421.401
380.332, -386.196
389.4, -349.329
394.224, -311.657
395.915, -273.706
394.849, -235.733
391.051, -197.937
383.821, -160.651
372.152, -124.516
355.561, -90.3919
333.629, -59.4374
306.554, -32.8437
275.187, -11.5128
239.98, 2.56707
202.643, 9.178
164.704, 8.98435
127.295, 2.59248
91.7494, -10.6798
59.3283, -30.3648
38.9949, -55.5656
64.0182, -84.1636
89.0414, -112.762
116.425, -107.126
150.387, -90.3762
187.932, -86.4139
224.115, -97.0486
252.146, -122.225
269.623, -155.81
279.218, -192.523
283.758, -230.226
271.009, -233.476
240.221, -211.388
205.113, -197.173
167.391, -194.407
129.939, -200.457
95.0367, -215.196
65.4385, -238.796
44.2304, -270.119
32.5027, -306.156
28.1799, -343.857
29.8597, -381.784
38.7686, -418.622
55.5463, -452.561
79.8947, -481.579
110.351, -504.169
145.176, -519.152
182.459, -525.999
220.374, -525.824
257.446, -517.89
